Paikkakunta;Koulu;km;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2024-2025;2025-2026;yhteensä;km/suunta;yhteensä;paikkaa;25.4.2026;;;;;;;;;;;;
Masku;1;1;282;;;;;;;;;;;;;;;;;;;;;;;;;;
Orivesi ;1;9;1440;;;;;;;;;;;;;;;;;;;;;;;;;;
Oulunsalo;1;2;2088;;;;;;;;;;;;;;;;;;;;;;;;;;
Pirkkala;2;7;498;;;;;;;;;;;;;;;;;;;;;;;;;;
Raisio;3;4;1050;;;;;;;;;;;;;;;;;;;;;;;;;;
Rauma (Lappi);1;3;816;;;;;;;;;;;;;;;;;;;;;;;;;;
Salo;4;5;1396;;;;;;;;;;;;;;;;;;;;;;;;;;
Sastamala;3;8;1004;;;;;;;;;;;;;;;;;;;;;;;;;;
Tampere;3;3;286;;;;;;;;;;;;;;;;;;;;;;;;;;
Valkeakoski;3;19;712;;;;;;;;;;;;;;;;;;;;;;;;;;
Vilppula;1;5;1240;;;;;;;;;;;;;;;;;;;;;;;;;;
Ylöjärvi;3;4;482;;;;;;;;;;;;;;;;;;;;;;;;;;
Ypäjä;1;1;138;;;;;;;;;;;;;;;;;;;;;;;;;;
Ähtäri;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;
;67;167;25458;;;;;;;;;;;;;;;;;;;;;;;;;;
